userName,content,score
Ajisaja Aja,coba dulu klo ok lanjutt belanza,1
Hendi Gondil,sangat membantu dan pelayanannya sangat bagus,5
518- Riska Febrianto,bagus sekali,5
Aleg Setiawan,Harga dan pelayanan oke. Tp yg the best itu barang nya ori semua jadi ga ragu buat belanja,5
inaf suwanto,"Mudah digunakan, simpel dan banyak diskon. mantap untuk saat ini.",5
Im Joker,Trusted OS dong,5
arief susanto,Biasa,3
Xiuushin,Tempat favorit belanja ori,5
hends 17,"Barang original, promo lebih banyak & pengiriman cepat.",5
Bismaarta,"barang nya bagus""🙏",5
Ket Min,"Sangat mudah berbelanja dizalora,dan saya tidak ragu untuk berbelanja barang yg ada size,karna zalora memberikan layanan penukaran kalau barang yg kita beli tidak pas (barang tidak boleh cacat,rusak,kotor,barang harus utuh baru bisa diterima kembali),walaupun size adalah pilihan kita sendiri.,hanya dizalora yg bisa seperti ini.",5
Dewiana Dewi,Mohon kepada aplikasi Zalora iklan yang di munculkan cukup banyak menganggu saat sedang bermain hp sekali lagi mohon iklan nya dikurangi 🙏🏻,1
Muhammad Darussalam,Kualitas barang-barang TOP..ORI semua,5
Oke Sri Lestari,Baik...,5
Amita mira,Terbaik Zalora. Terpercaya. No debat,5
feri irawan sitorus,Sangat baik,5
Mufid Nur fadlan,Mantap lah,5
S H,"Belanja mudah,,, tanpa kluar rumah,, barangnya original 👍🏽",5
Sarjono Bregas,Good,5
Andol Crew,sangat puas dan original,5
Badrun nur Batu bara,IKLANYA MENGGANGGU,1
Yayan Ruhyana,Zalora dapat dipercaya produk original pengiriman selalu tepat waktu,5
Raysa Dinda az_zahra,bagus terbaik,5
Muh Yasin,"Pilihan produkx banyak sehingga mudah untuk memilih yg sesuai dengan keinginan. Baru pertama transaksi di Zalora SDH tertarik. Semoga produkx sesuai harapan saya, terima kasih.",5
nizar nudien,Mantap Sesuai Dgn Poto dan Kualitas nya 👍,5
Doni Juto,keren,4
ady shlalu,Banyak penipu di dalam sangat jelek,1
Saita Jr,"jadi langganan kalo mau barang original,dan packing rapih sering banyak discount lagi.",5
H. HERMAN,zuperrtt,5
jannes sena,mantabbsss,5
Ekky Okyanto,Kalo belanja d sini bisa cod g sh y,5
Ari Ri,Penuh email gegara Zalora gak kenal waktu. Kita gak dikasih tahu bgmn unsubscribe.,1
Jual Akun02,"Katanya gratis kalo emang udah ga afiliasi ama ekspedisi buat dropoff di J**, dibenerin sistemnya lah babi",1
Dedi Azwar,best,5
Muhammad Zhorif,sangat sangat diskon able sekali :),5
Eliv Arbain,"Ok, cm kenapa skrg kl retur melalui jne, alfa, indmrt gak tetdaftar ya gak bs diproses.. ??, jd tetpaksa pake ongkir...",4
Vanderal Putro,original top,5
Kiddo Channel,Fitur filternya koq ga bisa ya?,5
Abhelian SaputrA,"vendor yang join sama zalora udh banyak barang2 KW. jadi males jajan di zalora lg, amsyong klo dapet barang ZONk gk Ori",1
Mas Bay,Good job,5
syifa amira,ok,5
Marsel Leaua,saya lihat dulu betul asli atau tidak,4
Nava Dien,ok aja dl krn blm order,4
Aang Prayogi,okokok,5
A Munajat,Empat bintang dulu,4
Kelvin Ryo Gradiyanto,"Rekan saya beli jam tangan seharga 2 juta rupiah dikirim ke customer kipas angin murahan. Proses di CS berbelit, customer sangat di rugikan. Perlu berhati hati berbelanja di zalora. Karena kurang aman, sangat ragu untuk membeli barang lagi di zalora. Mohon ditindak lanjuti komplain customernya dengan baik dan segera. Tindak seller yang tidak bertanggung jawab. Reputasi zalora yang sudah baik jangan sapai tercoreng karena oknum yang buruk. Terimakasih Template akan di bantu, dari kemaren jugagitu",5
adan hasibuan,gud,5
Nang Wahyu,Mau instal zalora tp pas liat ulasan ko pd marah-marah... G jd instal dehh,1
Kopi Kiri,🤩🤩,5
Andi Malik apriandi,pertahankan,5
Abdulllah sahid,Aplikasi tidak lengkap tidak bisa berkomunikasi dengan penjual,1
Qumaini Yazin,"Menu nya banyak dan banyak fiturnya, namun agak ngelag setelah di perbarui",4
Indra Warni,Lazada okay,4
IDY Indra,good,5
Jemy Syahridal,Good,5
Eka Saputra,tidak bisa hapus alamat,1
Riko Riko,mantap,5
Jefry ricko,ini sdh setelan celana dan javiet ya?,5
Football player,"store fashion termurah, lengkap, banyak diskonnya lgi",5
Indira Agustini,Bagus bagus pilihan bajunya,5
teguh fly,mantap,5
